対象のエフェクト名,①ラベル名,①開始時間(秒),②ラベル名,②開始時間(秒),③ラベル名,③開始時間(秒)
Common_death_01,se_eff_monbreak,0,,,,
Common_a_mosterIn_01,se_gc_start_01,0,,,,
Common_d_attack_hit_01,se_eff_attack_d_exp_1,2.29,,,,
Common_a_summon_01,se_eff_summon,0,,,,
Common_a_summon_02_1,se_eff_summon_ritual,0,,,,
Common_a_summon_03_1,se_eff_summon_fusion,0,,,,
Common_a_summon_04_1,se_eff_summon_synchro,0,,,,
Common_a_summon_05_1,se_eff_summon_xyz2,0,,,,
Common_a_summon_05_2,se_eff_summon_xyz,0,,,,
Common_a_summon_06_1,se_eff_summon_pendulum,0,,,,
Common_a_summon_07_1,se_eff_summon_link,0,,,,
Common_a_summonTwist_07_1,se_eff_summon_link2,0,,,,
Common_breakCard_01,se_eff_cardbreak,0,,,,
Common_releaseCard_01,se_eff_release,0,,,,
Common_bounceCard_01,se_eff_cardreturn,0,,,,
Common_moveCard_01,se_eff_cemetory,0,,,,
Common_moveCard_02,se_eff_cemetory,0,,,,
Common_setCard_01,se_eff_cardset,0,,,,
Common_a_summon_08_1,se_eff_summon_maximum,0,,,,
Common_skill_teleportation_01,se_start_fog,0,,,,
Common_skill_teleportation_02,se_btl_ui_duelstart,0,,,,
Common_skill_storage_01,se_eff_skill_121,0,,,,
Common_field_dark_01,se_eff_skill_160,0,,,,
Common_field_jibaku_01,se_eff_skill_161,0,,,,
Common_field_jibaku_02,se_eff_skill_161,0,,,,
EFF_field_effect_jibaku,se_eff_skill_161,0,,,,
obj00009_01J_raid_general_01,se_gc_monster_01,0,,,,
Obj00009_01J_raid_general_02,se_eff_monbreak,0,,,,
obj00009_01J_teleportation_01,se_start_fog,0,,,,
obj00009_01J_teleportation_02,se_btl_ui_duelstart,0,,,,
,,,,,,
UIEffect_i_spSummonNumber_05,se_eff_numbers,0,,,,
EFF_com_skillUnder_B_01,se_eff_skill_013,0,,,,
EFF_com_skillUnder_B_02,se_eff_skill_026,0,,,,
EFF_com_skillUnder_B_03,se_eff_skill_014,0,,,,
EFF_com_skillUnder_B_04,se_eff_skill_027,0,,,,
EFF_com_skillRotation_B_01,se_eff_skill_999,0,,,,
EFF_com_skillRotation_B_02,se_eff_skill_999,0,,,,
EFF_com_skillRotation_B_03,se_eff_skill_999,0,,,,
EFF_com_skillRotation_B_04,se_eff_skill_999,0,,,,
EFF_com_skillRotation_B_05,se_eff_skill_999,0,,,,
EFF_com_skillRotation_B_06,se_eff_skill_999,0,,,,
EFF_com_skillUpper_H_01,se_eff_skill_020,0,,,,
EFF_com_skillUpper_H_02,se_eff_skill_022,0,,,,
EFF_com_skillUpper_H_03,se_eff_skill_023,0,,,,
EFF_com_skillUpper_H_04,se_eff_skill_023,0,,,,
EFF_com_skillUpper_H_05,se_eff_skill_025,0,,,,
EFF_com_trapFlash_02,se_eff_skill_040,0,,,,
EFF_com_raid_reflect_01,se_eff_boss_reflex,0,,,,
EFF_com_summon_DM_01,se_eff_com_summon_dm_01,0,,,,
EFF_com_summon_GX_01,se_eff_com_summon_gx_01,0,,,,
EFF_com_summon_5Ds_01,se_eff_com_summon_5ds_01,0,,,,
EFF_com_summon_5Ds_02,se_eff_com_summon_5ds_02,0,,,,
EFF_com_summon_ZEXAL_01,se_eff_com_summon_zexal_01,0,,,,
EFF_com_summon_ARCV_01,se_eff_com_summon_arcv_01,0,,,,
EFF_com_summon_ARCV_02,se_eff_com_summon_arcv_02,0,,,,
EFF_com_summon_VRAINS_01,se_eff_com_summon_vrains_01,0,,,,
EFF_com_summon_SEVENS_01,se_eff_com_summon_sevens_01,0,,,,
